phage_seqname	bact_access	dsDNAphage	ssDNA	RNA	NCLDV	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
NASM01000164.1||full	NASM01000164.1	0.147	0.12	0.16	0.94	0.347	0.94	NCLDV	2078	0	50	0
NASM01000083.1||full	NASM01000083.1	0.76	0	0	0.113	0	0.76	dsDNAphage	11773	2	22.2	38.9
JAIO01000048.1||full	JAIO01000048.1	0.26	0.047	0.33	0.98	0.613	0.98	NCLDV	4134	0	33.3	0
JAIO01000071.1||full	JAIO01000071.1	0.42	0.247	0.3	0.647	0.373	0.647	NCLDV	2313	0	33.3	0
JAIO01000075.1||full	JAIO01000075.1	0.187	0.1	0.18	0.6	0.293	0.6	NCLDV	2200	0	25	0
PDKP01000037.1||full	PDKP01000037.1	0.753	0.96	0.23	0.3	0.727	0.96	ssDNA	2494	0	100	0
CP029545.1||full	CP029545.1	0.267	0.007	0.06	0.84	0.407	0.84	NCLDV	10893	0	28.6	0
JPYX01000019.1||full	JPYX01000019.1	0.527	0.013	0.125	0.273	0.073	0.527	dsDNAphage	6196	0	16.7	0
AZBY01000043.1||full	AZBY01000043.1	0.207	0	0.05	0.8	0.127	0.8	NCLDV	5109	0	20	0
BDDX01000017.1||full	BDDX01000017.1	0.66	0.113	0.16	0.86	0.127	0.86	NCLDV	6564	0	12.5	0
QUBN01000034.1||full	QUBN01000034.1	0.06	0.007	0.02	0.573	0.047	0.573	NCLDV	7509	0	11.1	0
QUBN01000036.1||full	QUBN01000036.1	0.093	0	0.02	0.933	0.087	0.933	NCLDV	7025	0	25	0
QUBN01000043.1||full	QUBN01000043.1	0.433	0.047	0	0.62	0.093	0.62	NCLDV	2663	0	60	20
JXCV01000002.1||full	JXCV01000002.1	0.1	0	0.005	0.593	0.14	0.593	NCLDV	11302	0	23.1	15.4
JXCX01000009.1||full	JXCX01000009.1	0.853	0	0	0.02	0	0.853	dsDNAphage	126529	8	28.3	25
JXCZ01000013.1||full	JXCZ01000013.1	0.547	0.653	0.06	1	0.253	1	NCLDV	2070	0	25	0
JXCZ01000037.1||full	JXCZ01000037.1	0.273	0.033	0.29	0.62	0.227	0.62	NCLDV	8110	0	25	0
JPUI01000018.1||full	JPUI01000018.1	0.12	0	0	0.793	0.033	0.793	NCLDV	8596	0	30	0
JPUI01000021.1||full	JPUI01000021.1	0.18	0	0	0.693	0.007	0.693	NCLDV	6455	0	20	10
JPUI01000041.1||full	JPUI01000041.1	1	0.013	0	0.187	0.027	1	dsDNAphage	51586	9	44.3	2.9
JAAEEA010000007.1||full	JAAEEA010000007.1	0.64	0	0	0.067	0	0.64	dsDNAphage	32420	1	40	13.3
JAAEEA010000009.1||full	JAAEEA010000009.1	0.833	0.04	0.025	0.253	0.1	0.833	dsDNAphage	6908	0	26.7	6.7
JAAEDX010000004.1||full	JAAEDX010000004.1	0.993	0.047	0.005	0.067	0.327	0.993	dsDNAphage	44759	10	60.3	3.4
KQ033883.1||full	KQ033883.1	0.62	0.787	0.15	0.96	0.773	0.96	NCLDV	3019	0	60	0
JAAEEB010000019.1||full	JAAEEB010000019.1	0.527	0.107	0.205	0.88	0.887	0.887	lavidaviridae	1261	0	25	0
KQ034027.1||full	KQ034027.1	0.327	0.033	0.06	0.733	0.387	0.733	NCLDV	11131	0	20	0
LN906635.1||full	LN906635.1	0.96	0.007	0	0.033	0.24	0.96	dsDNAphage	137883	6	36.7	5.7
AZDD01000030.1||full	AZDD01000030.1	1	0.067	0.175	0.34	0.22	1	dsDNAphage	19098	6	50	0
AZDD01000033.1||full	AZDD01000033.1	0.987	0.16	0.06	0.273	0.34	0.987	dsDNAphage	19042	8	66.7	0
AZDD01000050.1||full	AZDD01000050.1	0.947	0.36	0.155	0.113	0.033	0.947	dsDNAphage	7943	0	32	0
AZDD01000059.1||full	AZDD01000059.1	0.993	0.78	0.035	0.993	0.547	0.993	dsDNAphage	5181	1	75	0
AZDD01000061.1||full	AZDD01000061.1	0.813	0.573	0.44	0.373	0.76	0.813	dsDNAphage	3456	0	16.7	0
AZDD01000062.1||full	AZDD01000062.1	0.527	0.047	0.275	0.893	0.687	0.893	NCLDV	4135	0	33.3	0
AZDD01000065.1||full	AZDD01000065.1	1	0.84	0.125	0.733	0.373	1	dsDNAphage	2987	1	100	0
AZDD01000070.1||full	AZDD01000070.1	0.507	0.613	0.635	0.893	0.367	0.893	NCLDV	2647	0	50	0
AZDD01000074.1||full	AZDD01000074.1	1	1	0.29	0.267	0.787	1	dsDNAphage	2265	1	66.7	0
AZDD01000078.1||full	AZDD01000078.1	0.54	0.993	0.245	0.333	0.353	0.993	ssDNA	1411	0	100	0
AZDD01000079.1||full	AZDD01000079.1	0.333	0.933	0.41	0.8	0.927	0.933	ssDNA	1647	0	33.3	0
CP006014.1||full	CP006014.1	1	0.053	0.005	0.387	0.307	1	dsDNAphage	39932	12	65.4	1.9
JSBB01000007.1||full	JSBB01000007.1	0.813	0	0	0.013	0.053	0.813	dsDNAphage	160318	25	37.3	19.2
JSBE01000008.1||full	JSBE01000008.1	0.893	0.933	0.16	0.527	0.807	0.933	ssDNA	1785	0	100	0
CM003359.1||full	CM003359.1	1	0	0	0.193	0.013	1	dsDNAphage	42672	12	54.3	2.9
MEJG01000009.1||full	MEJG01000009.1	0.993	0.32	0.01	0.56	0.26	0.993	dsDNAphage	10918	6	47.4	0
ADZY03000321.1||full	ADZY03000321.1	1	0.033	0	0.14	0.013	1	dsDNAphage	18930	4	66.7	4.2
ADZY03000153.1||full	ADZY03000153.1	0.713	0	0	0.033	0	0.713	dsDNAphage	30763	2	26.7	43.3
ADZY03000124.1||full	ADZY03000124.1	0.347	0.607	0.265	0.473	0.187	0.607	ssDNA	1722	0	33.3	0
ADZY03000122.1||full	ADZY03000122.1	0.54	0.733	0.205	0.84	0.82	0.84	NCLDV	3635	0	66.7	0
ADZY03000319.1||full	ADZY03000319.1	0.753	0.02	0	0.087	0	0.753	dsDNAphage	28709	0	43.9	7.3
ADZY03000238.1||full	ADZY03000238.1	0.307	0.08	0.035	0.94	0.04	0.94	NCLDV	2657	0	25	0
ADZY03000030.1||full	ADZY03000030.1	0.96	1	0.275	0.453	0.233	1	ssDNA	1613	0	100	0
ADZY03000271.1||full	ADZY03000271.1	0.967	1	0.21	0.84	0.26	1	ssDNA	1879	0	75	0
ADZY03000103.1||full	ADZY03000103.1	0.953	0.987	0.445	0.593	0.407	0.987	ssDNA	1348	0	50	0
ADZY03000185.1||full	ADZY03000185.1	0.973	1	0.455	0.707	0.5	1	ssDNA	1280	0	50	0
ADZY03000209.1||full	ADZY03000209.1	0.94	0.973	0.305	0.493	0.433	0.973	ssDNA	2627	0	100	0
ADZY03000210.1||full	ADZY03000210.1	0.88	0.187	0.005	0.353	0.013	0.88	dsDNAphage	1703	0	50	25
ADZY03000330.1||full	ADZY03000330.1	0.587	0.62	0.1	0.767	0.347	0.767	NCLDV	3458	0	33.3	0
ADZY03000242.1||full	ADZY03000242.1	0.673	0.087	0.005	0.547	0.033	0.673	dsDNAphage	1692	0	40	20
ADZY03000028.1||full	ADZY03000028.1	0.48	0.627	0.075	0.727	0.153	0.727	NCLDV	2131	0	25	0
ADZY03000245.1||full	ADZY03000245.1	0.327	0.933	0.35	0.573	0.253	0.933	ssDNA	1819	0	33.3	0
ADZY03000104.1||full	ADZY03000104.1	0.553	0.067	0.015	0.22	0.04	0.553	dsDNAphage	2943	0	40	20
ADZY03000008.1||full	ADZY03000008.1	1	0.28	0.11	0.153	0.213	1	dsDNAphage	15653	10	84.2	0
ADZY03000041.1||full	ADZY03000041.1	1	0.007	0	0.127	0.04	1	dsDNAphage	25754	9	47.2	5.6
ADZY03000272.1||full	ADZY03000272.1	0.927	0.88	0.12	0.553	0.193	0.927	dsDNAphage	1842	1	71.4	0
ADZY03000335.1||full	ADZY03000335.1	0.853	0.533	0.19	0.673	0.08	0.853	dsDNAphage	2218	0	25	0
ADZY03000249.1||full	ADZY03000249.1	0.973	0.967	0.33	0.413	0.227	0.973	dsDNAphage	1875	0	40	0
ADZY03000066.1||full	ADZY03000066.1	0.2	0	0	0.813	0.02	0.813	NCLDV	7969	0	22.2	11.1
ADZY03000284.1||full	ADZY03000284.1	0.66	0	0.03	0.087	0.033	0.66	dsDNAphage	6050	1	40	20
ADZY03000328.1||full	ADZY03000328.1	1	0.807	0.17	0.46	0.473	1	dsDNAphage	5583	4	100	0
ADZY03000110.1||full	ADZY03000110.1	0.953	0.06	0.01	0.12	0.02	0.953	dsDNAphage	19291	0	43.9	4.9
ADZY03000182.1||full	ADZY03000182.1	0.88	0.16	0.065	0.207	0.013	0.88	dsDNAphage	2178	0	25	12.5
ADZY03000143.1||full	ADZY03000143.1	0.927	0.567	0.17	0.32	0.273	0.927	dsDNAphage	3038	0	44.4	0
ADZY03000097.1||full	ADZY03000097.1	1	0.293	0.105	0.273	0.347	1	dsDNAphage	10583	9	91.7	0
ADZY03000046.1||full	ADZY03000046.1	0.927	0.9	0.425	0.36	0.293	0.927	dsDNAphage	3999	0	66.7	0
ADZY03000221.1||full	ADZY03000221.1	0.827	0.287	0.4	0.593	0.547	0.827	dsDNAphage	6425	0	42.9	0
ADZY03000111.1||full	ADZY03000111.1	0.727	0.82	0.045	0.94	0.18	0.94	NCLDV	2784	0	50	0
ADZY03000015.1||full	ADZY03000015.1	0.58	0.953	0.24	0.82	0.98	0.98	lavidaviridae	2626	0	100	0
ADZY03000040.1||full	ADZY03000040.1	0.993	0.973	0.46	0.147	0.707	0.993	dsDNAphage	2822	4	100	0
ADZY03000216.1||full	ADZY03000216.1	1	0.247	0.045	0.28	0.387	1	dsDNAphage	6547	7	90	0
ADZY03000159.1||full	ADZY03000159.1	0.987	0.953	0.195	0.86	0.193	0.987	dsDNAphage	3013	0	71.4	0
ADZY03000320.1||full	ADZY03000320.1	0.967	0.46	0.135	0.227	0.213	0.967	dsDNAphage	3195	1	11.1	0
ADZY03000226.1||full	ADZY03000226.1	0.033	0	0	0.547	0.02	0.547	NCLDV	7706	0	28.6	0
ADZY03000294.1||full	ADZY03000294.1	0.987	0.04	0	0.08	0.013	0.987	dsDNAphage	22456	10	83.9	6.5
ADZY03000135.1||full	ADZY03000135.1	0.913	1	0.46	0.14	0.2	1	ssDNA	3477	0	50	0
ADZY03000352.1||full	ADZY03000352.1	0.987	0.733	0.03	0.84	0.18	0.987	dsDNAphage	5737	0	57.1	0
ADZY03000243.1||full	ADZY03000243.1	0.993	0.933	0.355	0.167	0.293	0.993	dsDNAphage	3918	1	57.1	0
ADZY03000119.1||full	ADZY03000119.1	1	0.387	0.075	0.187	0.2	1	dsDNAphage	18402	8	71.4	0
ADZY03000130.1||full	ADZY03000130.1	0.92	0.973	0.375	0.593	0.967	0.973	ssDNA	3096	0	40	0
ADZY03000162.1||full	ADZY03000162.1	0.993	0.373	0.13	0.28	0.173	0.993	dsDNAphage	20341	9	81.2	0
ADZY03000332.1||full	ADZY03000332.1	0.94	0.847	0.08	0.747	0.12	0.94	dsDNAphage	3902	0	27.3	0
ADZY03000285.1||full	ADZY03000285.1	1	0.087	0.005	0.273	0.04	1	dsDNAphage	9571	1	47.4	5.3
ADZY03000211.1||full	ADZY03000211.1	0.953	0.007	0	0.04	0.007	0.953	dsDNAphage	11949	2	41.2	11.8
ADZY03000165.1||full	ADZY03000165.1	0.6	0.02	0.01	0.153	0.207	0.6	dsDNAphage	5982	0	40	10
ADZY03000229.1||full	ADZY03000229.1	0.687	0.08	0.04	0.327	0.093	0.687	dsDNAphage	8146	0	30.8	0
ADZY03000262.1||full	ADZY03000262.1	0.987	0.967	0.235	0.46	0.393	0.987	dsDNAphage	3378	0	100	0
ADZY03000212.1||full	ADZY03000212.1	0.913	1	0.325	0.467	0.807	1	ssDNA	2142	0	100	0
ADZY03000078.1||full	ADZY03000078.1	0.96	0.993	0.335	0.3	0.247	0.993	ssDNA	1884	0	40	0
ADZY03000150.1||full	ADZY03000150.1	0.833	0.22	0.025	0.307	0.027	0.833	dsDNAphage	2609	0	44.4	11.1
ADZY03000347.1||full	ADZY03000347.1	0.413	0.053	0.28	0.82	0.38	0.82	NCLDV	3821	0	33.3	0
ADZY03000169.1||full	ADZY03000169.1	0.787	0.893	0.365	0.107	0.56	0.893	ssDNA	1754	0	50	0
ADZY03000312.1||full	ADZY03000312.1	0.42	0.073	0.125	0.873	0.093	0.873	NCLDV	3610	0	25	0
CH981519.1||full	CH981519.1	0.993	0.533	0.155	0.293	0.307	0.993	dsDNAphage	12073	8	64.7	0
CH981511.1||full	CH981511.1	0.813	0.06	0.01	0.16	0	0.813	dsDNAphage	8332	0	25	6.2
CH981502.1||full	CH981502.1	0.987	0.013	0.005	0.18	0.02	0.987	dsDNAphage	19932	6	48	4
CH981498.1||full	CH981498.1	0.207	0.14	0.095	0.693	0.433	0.693	NCLDV	3499	0	33.3	0
CH981488.1||full	CH981488.1	0.827	0	0	0.073	0.007	0.827	dsDNAphage	30627	2	35.7	39.3
CH981477.1||full	CH981477.1	0.987	0.067	0.015	0.027	0.073	0.987	dsDNAphage	3971	2	66.7	16.7
CH981474.1||full	CH981474.1	0.993	0.02	0	0.06	0.02	0.993	dsDNAphage	21913	1	39.1	10.9
CH981467.1||full	CH981467.1	0.947	0.107	0.005	0.047	0.08	0.947	dsDNAphage	18983	0	43.6	5.1
CH981455.1||full	CH981455.1	1	0.227	0.095	0.207	0.213	1	dsDNAphage	14971	10	88.2	0
CH981435.1||full	CH981435.1	0.873	0	0	0.007	0	0.873	dsDNAphage	56668	4	31	33.8
CH981432.1||full	CH981432.1	0.973	0.033	0.005	0.14	0.073	0.973	dsDNAphage	13942	1	71.4	4.8
CH981423.1||full	CH981423.1	0.953	0	0	0.307	0.047	0.953	dsDNAphage	15974	1	36.4	9.1
CH981409.1||full	CH981409.1	0.993	0.107	0	0.567	0.08	0.993	dsDNAphage	13794	4	42.3	3.8
CH981405.1||full	CH981405.1	0.873	0.013	0	0.027	0.027	0.873	dsDNAphage	15313	1	39.1	17.4
CH981397.1||full	CH981397.1	0.927	0.52	0.155	0.4	0.253	0.927	dsDNAphage	8590	0	41.2	0
CH981396.1||full	CH981396.1	0.953	0.073	0.005	0.107	0.087	0.953	dsDNAphage	19749	0	50	2.5
CH981387.1||full	CH981387.1	0.6	0	0	0.013	0	0.6	dsDNAphage	60818	0	38.5	23.1
CH981386.1||full	CH981386.1	0.953	0.013	0	0.073	0	0.953	dsDNAphage	31480	2	36.7	8.2
CH981375.1||full	CH981375.1	0.64	0	0	0.007	0	0.64	dsDNAphage	39557	0	15.8	0
CH981374.1||full	CH981374.1	0.953	0	0	0.067	0.027	0.953	dsDNAphage	27501	4	37.5	9.4
CH981373.1||full	CH981373.1	0.987	0.007	0	0.053	0.007	0.987	dsDNAphage	72166	9	50.5	8.6
AARF01000626.1||full	AARF01000626.1	0.4	0.873	0.19	nan	0.573	0.873	ssDNA	1801	0	50	0
AARF01000468.1||full	AARF01000468.1	0.473	0.667	0.24	0.473	0.793	0.793	lavidaviridae	1783	0	50	0
AARF01000463.1||full	AARF01000463.1	0.593	0.873	0.145	0.673	0.36	0.873	ssDNA	2170	0	66.7	0
AARF01000400.1||full	AARF01000400.1	0.913	0.987	0.51	0.727	0.4	0.987	ssDNA	1665	0	50	0
AARF01000398.1||full	AARF01000398.1	0.587	0.193	0.05	0.413	0.267	0.587	dsDNAphage	3973	0	66.7	0
AARF01000359.1||full	AARF01000359.1	0.807	0.273	0.47	0.273	0.04	0.807	dsDNAphage	10117	0	4	0
AARF01000349.1||full	AARF01000349.1	0.967	0.72	0.105	0.413	0.22	0.967	dsDNAphage	2694	0	55.6	0
AARF01000288.1||full	AARF01000288.1	0.18	0.007	0.035	0.933	0.393	0.933	NCLDV	5220	0	40	0
AARF01000286.1||full	AARF01000286.1	0.1	0	0	0.673	0.007	0.673	NCLDV	9282	0	30	20
AARF01000247.1||full	AARF01000247.1	0.987	0.1	0.065	0.72	0.233	0.987	dsDNAphage	9376	2	50	0
AARF01000244.1||full	AARF01000244.1	0.107	0.02	0.025	0.767	0.093	0.767	NCLDV	11017	0	22.2	0
AARF01000231.1||full	AARF01000231.1	0.527	0.973	0.18	0.587	0.827	0.973	ssDNA	2581	0	100	0
AARF01000123.1||full	AARF01000123.1	0.9	0.107	0.025	0.327	0.133	0.9	dsDNAphage	15882	0	46.2	0
AARF01000119.1||full	AARF01000119.1	1	0.147	0.07	0.233	0.093	1	dsDNAphage	23796	10	86.1	0
AARF01000085.1||full	AARF01000085.1	0.88	0.073	0	0.18	0.033	0.88	dsDNAphage	6111	0	63.6	9.1
AARF01000043.1||full	AARF01000043.1	0.533	0.047	0.005	0.12	0.027	0.533	dsDNAphage	2364	0	40	20
AARF01000042.1||full	AARF01000042.1	0.88	0.92	0.305	0.253	0.487	0.92	ssDNA	1964	0	75	0
AARF01000040.1||full	AARF01000040.1	0.887	0.367	0.16	0.173	0.167	0.887	dsDNAphage	2922	0	14.3	0
AARF01000032.1||full	AARF01000032.1	0.427	0.953	0.34	0.547	0.847	0.953	ssDNA	1655	0	33.3	0
AARF01000029.1||full	AARF01000029.1	0.713	0.907	0.15	0.227	0.32	0.907	ssDNA	1484	0	50	0
AARF01000014.1||full	AARF01000014.1	0.74	1	0.92	0.52	0.92	1	ssDNA	1701	0	33.3	0
CP003356.1||full	CP003356.1	0.767	0.14	0.415	0.173	0.027	0.767	dsDNAphage	9629	0	4.5	0
CP019654.1||full	CP019654.1	0.747	0.14	0.455	0.367	0.027	0.747	dsDNAphage	9644	0	4.5	0
ADFW01000008.1||full	ADFW01000008.1	0.853	0.2	0.33	0.227	0.013	0.853	dsDNAphage	9687	0	4.2	0
ADFW01000003.1||full	ADFW01000003.1	0.92	0.007	0	0.02	0	0.92	dsDNAphage	86281	1	33.6	19.1
ADFW01000005.1||full	ADFW01000005.1	0.993	0.04	0	0.2	0.033	0.993	dsDNAphage	12828	3	69.6	4.3
ADFW01000006.1||full	ADFW01000006.1	0.953	0.367	0.05	0.333	0.253	0.953	dsDNAphage	8980	0	52.6	0
ADFW01000007.1||full	ADFW01000007.1	0.987	0.24	0.065	0.207	0.307	0.987	dsDNAphage	8078	0	54.5	0
CP019656.1||full	CP019656.1	0.9	0	0	0.007	0	0.9	dsDNAphage	95109	1	25.6	16.8
CP019719.1||full	CP019719.1	1	0.013	0	0.1	0	1	dsDNAphage	45544	10	59.1	3
LAWY01000007.1||full	LAWY01000007.1	0.9	0	0	0.027	0.007	0.9	dsDNAphage	115041	12	35.7	18.8
LAWY01000015.1||full	LAWY01000015.1	0.853	0	0	0	0	0.853	dsDNAphage	74498	4	24.7	33.3
LAWY01000021.1||full	LAWY01000021.1	0.927	0	0	0.02	0.007	0.927	dsDNAphage	74444	1	33	20.8
LAWY01000036.1||full	LAWY01000036.1	0.98	0	0	0.04	0	0.98	dsDNAphage	48494	8	59	9.8
LAWY01000041.1||full	LAWY01000041.1	0.987	0	0	0.073	0	0.987	dsDNAphage	38721	9	44	12
LAWY01000049.1||full	LAWY01000049.1	0.947	0.007	0	0.093	0.007	0.947	dsDNAphage	27401	0	43.6	5.5
LAWY01000063.1||full	LAWY01000063.1	0.993	0.453	0.05	0.207	0.24	0.993	dsDNAphage	14774	1	51.9	0
LAWY01000065.1||full	LAWY01000065.1	0.993	0.413	0.145	0.14	0.32	0.993	dsDNAphage	14060	12	94.1	0
LAWY01000067.1||full	LAWY01000067.1	0.993	0.007	0	0.073	0.02	0.993	dsDNAphage	13224	6	63.2	5.3
LAWY01000071.1||full	LAWY01000071.1	1	0.92	0.065	0.46	0.247	1	dsDNAphage	11396	1	60	0
LAWY01000073.1||full	LAWY01000073.1	0.64	0.027	0.01	0.26	0.013	0.64	dsDNAphage	9467	0	31.6	15.8
LAWY01000074.1||full	LAWY01000074.1	0.74	0	0	0.167	0	0.74	dsDNAphage	9137	2	28.6	42.9
LAWY01000075.1||full	LAWY01000075.1	0.987	0.1	0.005	0.04	0.093	0.987	dsDNAphage	8843	5	76.9	7.7
LAWY01000081.1||full	LAWY01000081.1	0.52	0.033	0.005	0.627	0.02	0.627	NCLDV	7495	0	15.4	7.7
LAWY01000084.1||full	LAWY01000084.1	1	0.473	0.095	0.187	0.4	1	dsDNAphage	6449	6	100	0
LAWY01000089.1||full	LAWY01000089.1	0.987	0.02	0	0.213	0.04	0.987	dsDNAphage	5596	1	45.5	9.1
LAWY01000091.1||full	LAWY01000091.1	1	0.727	0.12	0.167	0.287	1	dsDNAphage	5391	7	100	0
LAWY01000092.1||full	LAWY01000092.1	0.56	0.793	0.105	0.833	0.273	0.833	NCLDV	5322	0	66.7	0
LAWY01000102.1||full	LAWY01000102.1	0.467	0.52	0.29	0.387	0.707	0.707	lavidaviridae	2896	0	20	0
LAWY01000109.1||full	LAWY01000109.1	0.727	0.88	0.44	0.58	0.247	0.88	ssDNA	1415	0	33.3	0
LAWY01000112.1||full	LAWY01000112.1	0.74	0.953	0.33	0.227	0.06	0.953	ssDNA	1363	0	33.3	0
CP020558.1||full	CP020558.1	0.993	0	0	0.147	0.033	0.993	dsDNAphage	128247	14	39.8	4.5
NAGY01000038.1||full	NAGY01000038.1	1	0	0	0.087	0.02	1	dsDNAphage	40107	9	42.6	12.8
NAGY01000035.1||full	NAGY01000035.1	0.993	0.013	0	0.353	0.02	0.993	dsDNAphage	33294	14	63.8	14.9
NAGY01000016.1||full	NAGY01000016.1	0.96	0.613	0.03	0.867	0.2	0.96	dsDNAphage	7241	0	53.8	0
NAGY01000012.1||full	NAGY01000012.1	0.773	0.193	0.015	0.993	0.367	0.993	NCLDV	5401	0	71.4	0
NAGY01000011.1||full	NAGY01000011.1	0.673	0.013	0	0.487	0	0.673	dsDNAphage	5556	0	36.4	18.2
NAGY01000056.1||full	NAGY01000056.1	0.853	0	0	0.053	0	0.853	dsDNAphage	77640	8	28.2	16.5
NAGZ01000101.1||full	NAGZ01000101.1	0.86	0	0	0.04	0	0.86	dsDNAphage	36548	8	31	31
NAGZ01000117.1||full	NAGZ01000117.1	0.98	0	0	0.073	0.013	0.98	dsDNAphage	85778	18	45.7	22.9
NAGZ01000057.1||full	NAGZ01000057.1	0.72	0.213	0.015	0.96	0.393	0.96	NCLDV	5390	0	71.4	0
NAHA01000069.1||full	NAHA01000069.1	0.893	0	0	0.107	0	0.893	dsDNAphage	38889	8	29.5	29.5
NAHA01000067.1||full	NAHA01000067.1	0.993	0.013	0	0.353	0.02	0.993	dsDNAphage	33294	14	63.8	14.9
NAHA01000064.1||full	NAHA01000064.1	0.993	0	0.01	0.38	0.047	0.993	dsDNAphage	30050	8	48.6	5.4
NAHA01000061.1||full	NAHA01000061.1	0.993	0	0	0.107	0.073	0.993	dsDNAphage	24278	9	39.3	14.3
NAHA01000048.1||full	NAHA01000048.1	0.587	0.007	0.005	0.08	0.547	0.587	dsDNAphage	12719	0	38.9	11.1
NAHA01000027.1||full	NAHA01000027.1	0.673	0.013	0	0.487	0	0.673	dsDNAphage	5556	0	36.4	18.2
NAHA01000025.1||full	NAHA01000025.1	0.987	0.02	0.02	0.553	0.207	0.987	dsDNAphage	4995	1	62.5	12.5
NAHA01000023.1||full	NAHA01000023.1	0.473	0.667	0.41	0.36	0.86	0.86	lavidaviridae	4567	0	33.3	0
NAHA01000021.1||full	NAHA01000021.1	0.847	0.307	0.02	0.993	0.253	0.993	NCLDV	3485	0	80	0
NAHA01000010.1||full	NAHA01000010.1	1	0.967	0.065	0.913	0.26	1	dsDNAphage	1438	0	100	0
NAHA01000009.1||full	NAHA01000009.1	0.447	0.813	0.33	0.747	0.693	0.813	ssDNA	1347	0	50	0
NAHB01000047.1||full	NAHB01000047.1	0.9	0	0	0.06	0	0.9	dsDNAphage	74102	8	29.5	16.8
NAHB01000035.1||full	NAHB01000035.1	0.993	0	0	0.087	0.02	0.993	dsDNAphage	40107	9	41.7	12.5
NAHB01000031.1||full	NAHB01000031.1	0.993	0.013	0	0.353	0.02	0.993	dsDNAphage	33294	14	63.8	14.9
NAHB01000024.1||full	NAHB01000024.1	0.54	0.013	0	0.647	0.1	0.647	NCLDV	12308	0	46.7	6.7
NAHB01000016.1||full	NAHB01000016.1	0.513	0.027	0	0.507	0.227	0.513	dsDNAphage	5435	0	50	12.5
NAHB01000014.1||full	NAHB01000014.1	0.987	0.02	0.02	0.553	0.207	0.987	dsDNAphage	4995	1	62.5	12.5
NAGX01000075.1||full	NAGX01000075.1	0.14	0.027	0	0.253	0.573	0.573	lavidaviridae	3859	0	40	20
NAGX01000074.1||full	NAGX01000074.1	0.813	0.94	0.4	nan	0.787	0.94	ssDNA	2093	0	100	0
NAGX01000073.1||full	NAGX01000073.1	0.193	0.133	0.155	0.653	0.173	0.653	NCLDV	3054	0	33.3	0
NAGX01000071.1||full	NAGX01000071.1	0.093	0.027	0.135	0.553	0.173	0.553	NCLDV	3087	0	50	0
NAGX01000067.1||full	NAGX01000067.1	0.253	0.127	0.165	0.767	0.593	0.767	NCLDV	2644	0	50	0
NAGX01000061.1||full	NAGX01000061.1	0.24	0.073	0.235	0.533	0.2	0.533	NCLDV	2748	0	25	0
NAGX01000055.1||full	NAGX01000055.1	0.24	0.133	0.36	0.833	0.227	0.833	NCLDV	1981	0	33.3	0
NAGX01000053.1||full	NAGX01000053.1	0.173	0.167	0.05	0.96	0.513	0.96	NCLDV	1856	0	50	0
NAGX01000044.1||full	NAGX01000044.1	0.813	0.973	0.065	0.933	0.347	0.973	ssDNA	1257	0	100	0
NAGX01000042.1||full	NAGX01000042.1	0.427	0.86	0.34	0.953	0.68	0.953	NCLDV	1345	0	33.3	0
NAGX01000037.1||full	NAGX01000037.1	0.993	1	0.11	0.92	0.353	1	ssDNA	1322	0	100	0
NAGX01000180.1||full	NAGX01000180.1	0.153	0	0	0.76	0.207	0.76	NCLDV	19599	0	30.8	15.4
NAGX01000178.1||full	NAGX01000178.1	0.973	0.04	0.01	0.233	0.053	0.973	dsDNAphage	16883	7	41.7	20.8
NAHC01000040.1||full	NAHC01000040.1	1	0.013	0.005	0.033	0.027	1	dsDNAphage	12308	8	78.6	21.4
NAHC01000079.1||full	NAHC01000079.1	0.98	0	0	0.08	0.013	0.98	dsDNAphage	88586	18	45.3	22.6
NAHC01000022.1||full	NAHC01000022.1	0.72	0.213	0.015	0.96	0.393	0.96	NCLDV	5390	0	71.4	0
NAHD01000052.1||full	NAHD01000052.1	0.993	0.007	0	0.353	0.027	0.993	dsDNAphage	41497	14	58.6	13.8
NAHD01000043.1||full	NAHD01000043.1	1	0	0	0.107	0.053	1	dsDNAphage	26794	9	44.8	13.8
NAHD01000035.1||full	NAHD01000035.1	0.14	0	0	0.693	0.067	0.693	NCLDV	17909	0	42.9	14.3
NAHD01000030.1||full	NAHD01000030.1	0.587	0.007	0.005	0.08	0.547	0.587	dsDNAphage	12719	0	38.9	11.1
NAHD01000016.1||full	NAHD01000016.1	0.987	0.02	0.02	0.553	0.207	0.987	dsDNAphage	4995	1	62.5	12.5
NAHD01000009.1||full	NAHD01000009.1	0.2	0.147	0.055	0.967	0.507	0.967	NCLDV	1856	0	50	0
NAHD01000007.1||full	NAHD01000007.1	0.98	0.927	0.155	0.92	0.447	0.98	dsDNAphage	1327	0	100	0
NAHD01000067.1||full	NAHD01000067.1	0.853	0	0	0.053	0	0.853	dsDNAphage	77640	8	28.2	16.5
NAHE01000089.1||full	NAHE01000089.1	0.86	0	0	0.04	0	0.86	dsDNAphage	36548	8	31	31
NAHE01000106.1||full	NAHE01000106.1	0.98	0	0	0.087	0.013	0.98	dsDNAphage	87049	18	45.7	21.9
NAHE01000037.1||full	NAHE01000037.1	0.133	0.027	0.115	0.88	0.193	0.88	NCLDV	5882	0	20	0
