protein	nogbit	nogcat	nogdomain	nogevalue	noghit	nogname
QGLI01000005.1||0_partial__00003	40.2	S	Bacteria	2.20E-10	2ZU79	unknown
QGLI01000005.1||0_partial__00004	324.6	S	Bacteria	9.60E-97	32TR0	Bacteriophage abortive infection AbiH
QGLI01000005.1||0_partial__00006	21.3	S	Bacteria	0.00017	32F5W	unknown
QGLI01000005.1||0_partial__00007	126.9	S	Bacteria	9.00E-37	32F5W	unknown
QGLI01000005.1||0_partial__00009	122.3	K	Bacteria	1.20E-35	COG3617	"BRO family, N-terminal domain"
QGLI01000005.1||0_partial__00010	253.3	S	Bacteria	1.50E-75	31Y92	unknown
QGLI01000005.1||0_partial__00011	122.6	K	Bacteria	9.20E-36	31GWJ	Helix-turn-helix XRE-family like proteins
QGLI01000005.1||0_partial__00012	19.8	S	Bacteria	0.00051	31S8X	Mycobacterium 19 kDa lipoprotein antigen
QGLI01000005.1||0_partial__00013	126.3	S	Bacteria	2.10E-36	32Y79	unknown
QGLJ01000007.1||0_partial_1__00003	21.3	K	Bacteria	9.80E-05	324RZ	Helix-turn-helix domain
QGLJ01000007.1||0_partial_1__00005	92.2	S	Bacteria	1.30E-26	33DW0	Putative phage holin Dp-1
QGLJ01000007.1||0_partial_1__00006	56.5	S	Archaea	1.60E-15	arCOG03929	Uncharacterized conserved protein (DUF2249)
QGLJ01000007.1||0_partial_1__00007	192.5	S	Bacteria	1.40E-57	31R0B	unknown
QGLJ01000007.1||0_partial_1__00010	183.5	S	Bacteria	6.10E-54	33Z9R	unknown
QGLJ01000007.1||0_partial_1__00011	100.2	S	Bacteria	1.40E-28	33QYT	Phage tail protein
QGLJ01000007.1||0_partial_1__00012	151.7	D	Archaea	3.10E-44	arCOG11109	Phage tail tape measure protein TP901
QGLJ01000007.1||0_partial_1__00013	95.3	S	Bacteria	1.50E-27	32G3G	unknown
QGLJ01000007.1||0_partial_1__00014	116.9	S	Bacteria	8.00E-34	328AN	unknown
QGLJ01000007.1||0_partial_1__00015	176.6	S	Bacteria	3.60E-52	33FDY	unknown
QGLJ01000007.1||0_partial_1__00016	126.3	S	Bacteria	5.70E-37	31Z1W	unknown
QGLJ01000007.1||0_partial_1__00017	138.6	S	Bacteria	1.20E-40	33H7B	unknown
QGLJ01000007.1||0_partial_1__00018	145.4	S	Bacteria	9.40E-43	348MB	unknown
QGLJ01000007.1||0_partial_1__00019	226.5	S	Bacteria	1.20E-67	2ZNIX	unknown
QGLJ01000007.1||0_partial_1__00020	127.4	S	Bacteria	1.00E-36	COG4653	Phage capsid family
QGLJ01000007.1||0_partial_1__00021	203.2	S	Bacteria	2.90E-60	31TAU	unknown
QGLJ01000007.1||0_partial_1__00022	76.7	S	Bacteria	1.40E-21	31W44	unknown
QGLJ01000007.1||0_partial_1__00023	247.1	S	Bacteria	2.50E-73	334RC	unknown
QGLJ01000007.1||0_partial_1__00024	583.1	S	Bacteria	3.70E-175	2ZB9E	"Phage portal protein, SPP1 Gp6-like"
QGLJ01000007.1||0_partial_1__00025	197.9	S	Virus	2.50E-58	4QDU4	
QGLJ01000007.1||0_partial_1__00026	174.9	S	Bacteria	5.70E-52	31TMT	unknown
QGLJ01000007.1||0_partial_1__00027	111.1	S	Virus	4.70E-32	4QFA0	
QGLJ01000007.1||0_partial_1__00030	121.2	S	Bacteria	1.00E-35	2ZRD2	unknown
QGLJ01000007.1||0_partial_1__00031	336.2	S	Bacteria	9.90E-101	31S3T	unknown
QGLJ01000007.1||0_partial_1__00033	240.5	S	Bacteria	8.50E-72	31XTI	unknown
QGLJ01000007.1||0_partial_1__00034	148	S	Bacteria	4.20E-43	336MN	unknown
QGLJ01000007.1||0_partial_1__00035	62.7	S	Bacteria	2.40E-17	32U0J	unknown
QGLJ01000007.1||0_partial_1__00036	146.1	S	Bacteria	4.90E-43	32WFJ	unknown
QGLJ01000007.1||0_partial_1__00038	87.9	S	Virus	7.20E-25	4QAU9	Single-strand binding protein family
QGLJ01000007.1||0_partial_1__00040	22.4	S	Bacteria	0.00013	31390	Family of unknown function (DUF5337)
QGLJ01000007.1||0_partial_1__00041	134.1	S	Bacteria	5.80E-39	2ZASF	RecT family
QGLJ01000007.1||0_partial_1__00042	88.9	S	Bacteria	2.60E-25	3060X	unknown
QGLJ01000007.1||0_partial_1__00043	29.8	D	Bacteria	5.10E-07	COG3599	regulation of cell shape
QGLJ01000007.1||0_partial_1__00045	27.8	S	Bacteria	1.70E-06	2ZY5Y	unknown
QGLJ01000007.1||0_partial_1__00047	120.6	S	Bacteria	2.20E-35	31TYK	unknown
QGLJ01000007.1||0_partial_1__00048	184.8	K	Bacteria	7.90E-55	31PGM	unknown
QGLJ01000007.1||0_partial_1__00049	205.8	S	Bacteria	2.10E-61	2ZX0Y	unknown
QGLJ01000007.1||0_partial_1__00050	40.2	S	Bacteria	2.70E-10	32I86	unknown
QGLJ01000007.1||0_partial_1__00051	135.3	S	Bacteria	4.00E-39	32Y79	unknown
QGLM01000017.1||0_partial_1__00001	264.1	S	Eukarya	2.30E-78	2S9VU	SIS domain
QGLM01000017.1||0_partial_1__00002	20.2	S	Bacteria	0.00042	303G2	unknown
QGLM01000017.1||0_partial_1__00003	151.9	S	Virus	2.50E-44	4QAQ9	
QGLM01000017.1||0_partial_1__00004	83	S	Bacteria	8.90E-24	33DUE	unknown
QGLM01000017.1||0_partial_1__00005	54.6	S	Bacteria	7.00E-15	32W32	unknown
QGLM01000017.1||0_partial_1__00006	137.7	S	Virus	5.10E-40	4QBTT	Phage conserved hypothetical protein BR0599
QGLM01000017.1||0_partial_1__00007	130.4	S	Bacteria	4.60E-38	2ZBXT	unknown
QGLM01000017.1||0_partial_1__00008	74.9	S	Bacteria	6.10E-21	COG5281	sister chromatid segregation
QGLM01000017.1||0_partial_1__00009	65.4	S	Virus	5.70E-18	4QF3K	
QGLM01000017.1||0_partial_1__00010	90	S	Virus	1.60E-25	4QGHF	
QGLM01000017.1||0_partial_1__00011	131.4	S	Virus	2.60E-38	4QCR9	
QGLM01000017.1||0_partial_1__00012	549.6	S	Virus	6.00E-165	4QG8X	
QGLM01000017.1||0_partial_1__00013	256.2	S	Bacteria	2.90E-76	2Z8UQ	unknown
QGLN01000004.1||0_partial_1__00001	23.4	S	Bacteria	3.60E-05	33FVA	unknown
QGLN01000004.1||0_partial_1__00002	134.8	G	Bacteria	4.60E-39	COG3345	alpha-galactosidase
QGLN01000004.1||0_partial_1__00003	145.7	S	Bacteria	2.80E-43	2ZVQF	unknown
QGLN01000004.1||0_partial_1__00006	154.7	S	Bacteria	2.80E-45	33BJ1	unknown
QGLN01000004.1||0_partial_1__00007	191.5	S	Virus	2.80E-56	4QAQE	Phage integrase family
QGLN01000004.1||0_partial_1__00008	98.5	K	Virus	3.90E-28	4QGSV	Pfam:Phage_CI_C
QGLN01000004.1||0_partial_1__00009	59.8	S	Bacteria	2.00E-16	32WKD	unknown
QGLN01000004.1||0_partial_1__00011	24.3	S	Bacteria	2.30E-05	32088	unknown
QGLN01000004.1||0_partial_1__00012	30.7	S	Bacteria	2.30E-07	339VV	Protein of unknown function (DUF2732)
QGLN01000004.1||0_partial_1__00013	71.9	S	Virus	3.20E-20	4QAQS	Prokaryotic dksA/traR C4-type zinc finger
QGLN01000004.1||0_partial_1__00014	691.7	S	Bacteria	8.80E-208	2Z7TX	DNA replication
QGLN01000004.1||0_partial_1__00016	114.5	S	Virus	4.90E-33	4QB6G	Peptidase M15
QGLN01000004.1||0_partial_1__00017	31.9	S	Bacteria	1.20E-07	32T06	unknown
QGLN01000004.1||0_partial_1__00018	124.8	S	Bacteria	1.70E-36	COG5346	Predicted membrane protein (DUF2335)
QGLN01000004.1||0_partial_1__00019	29.3	S	Bacteria	6.60E-07	31DTX	unknown
QGLN01000004.1||0_partial_1__00020	76.6	S	Virus	9.40E-22	4QGYU	Phage Tail Protein X
QGLN01000004.1||0_partial_1__00021	87.1	S	Virus	8.30E-25	4QCMF	Pfam:Phage_holin_8
QGLN01000004.1||0_partial_1__00022	68.3	S	Virus	4.40E-19	4QAK5	Pfam:Phage_holin_3_7
QGLN01000004.1||0_partial_1__00023	75	S	Bacteria	4.70E-21	32RTF	P2 phage tail completion R family protein
QGLN01000004.1||0_partial_1__00025	32.1	S	Bacteria	6.90E-08	2ZCEM	"Type VI secretion system VasI, EvfG, VC_A0118"
QGLN01000004.1||0_partial_1__00026	207.1	S	Virus	2.20E-61	4QC8P	Phage-related baseplate assembly protein
QGLN01000004.1||0_partial_1__00027	97.2	S	Virus	4.70E-28	4QB1K	Gene 25-like lysozyme
QGLN01000004.1||0_partial_1__00028	342	S	Bacteria	2.90E-102	COG3948	Baseplate J-like protein
QGLN01000004.1||0_partial_1__00029	192.7	S	Virus	3.60E-57	4QBSC	Phage tail protein (Tail_P2_I)
QGLN01000004.1||0_partial_1__00030	196.9	S	Bacteria	1.90E-58	COG5301	"cellulose 1,4-beta-cellobiosidase activity"
QGLN01000004.1||0_partial_1__00031	154.6	S	Virus	3.00E-45	4QAIQ	Caudovirales tail fibre assembly protein
QGLN01000004.1||0_partial_1__00032	560.3	S	Eukarya	4.00E-168	2SV4D	Phage tail sheath protein subtilisin-like domain
QGLN01000004.1||0_partial_1__00033	215.8	S	Virus	2.70E-64	4QGAP	Phage tail tube protein FII
QGLN01000004.1||0_partial_1__00034	109.2	S	Bacteria	7.80E-32	32YUV	Tail E family protein
QGLN01000004.1||0_partial_1__00035	73.9	S	Bacteria	5.40E-21	31PQ4	Phage P2 GpE
QGLN01000004.1||0_partial_1__00036	79.9	S	Virus	9.50E-23	4QF5E	
QGLN01000004.1||0_partial_1__00037	132.9	S	Virus	7.30E-39	4QFEY	Phage P2 GpU
QGLN01000004.1||0_partial_1__00038	322.2	S	Virus	3.40E-96	4QH23	Phage late control gene D protein (GPD)
QGLN01000004.1||0_partial_1__00039	97.8	S	Bacteria	4.60E-28	33AEK	"transcriptional activator, Ogr delta"
QGLO01000004.1||0_partial_1__00001	23.7	IQ	Eukarya	1.60E-05	KOG1200	3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity
QGLO01000004.1||0_partial_1__00003	181.7	S	Archaea	1.70E-53	arCOG00503	PFAM beta-lactamase domain protein
QGLO01000004.1||0_partial_1__00005	119.2	S	Virus	2.80E-34	4QAQE	Phage integrase family
QGLO01000004.1||0_partial_1__00006	40.4	S	Bacteria	2.00E-10	30PK8	Domain of unknown function (DUF4224)
QGLO01000004.1||0_partial_1__00007	245.6	S	Virus	2.80E-73	4QHFW	MT-A70
QGLO01000004.1||0_partial_1__00008	196.2	S	Virus	6.10E-58	4QC9J	transferase activity
QGLO01000004.1||0_partial_1__00010	152.4	L	Bacteria	1.60E-44	COG0863	Belongs to the N(4) N(6)-methyltransferase family
QGLO01000004.1||0_partial_1__00011	181.2	S	Bacteria	2.60E-53	32S73	unknown
QGLO01000004.1||0_partial_1__00014	30.9	S	Virus	2.40E-07	4QGD1	
QGLO01000004.1||0_partial_1__00015	90.1	S	Virus	1.50E-25	4QAU9	Single-strand binding protein family
QGLO01000004.1||0_partial_1__00018	116.3	L	Bacteria	1.60E-33	COG3298	Predicted 3'-5' exonuclease related to the exonuclease domain of PolB
QGLO01000004.1||0_partial_1__00019	267.3	S	Virus	2.20E-79	4QED7	AAA domain
QGLO01000004.1||0_partial_1__00022	25.7	S	Virus	1.10E-05	4QGHG	
QGLO01000004.1||0_partial_1__00024	344.9	S	Bacteria	1.40E-103	30J1Z	Domain of unknown function (DUF3560)
QGLO01000004.1||0_partial_1__00026	60.7	K	Bacteria	2.10E-16	COG2932	Transcriptional regulator
QGLO01000004.1||0_partial_1__00027	47.4	S	Bacteria	2.40E-12	COG4197	"protein conserved in bacteria, prophage-related"
QGLO01000004.1||0_partial_1__00028	118.8	S	Bacteria	1.40E-34	32X14	unknown
QGLO01000004.1||0_partial_1__00029	87.3	S	Bacteria	4.30E-25	33DHF	Helix-turn-helix domain
QGLO01000004.1||0_partial_1__00030	148.6	S	Bacteria	2.40E-43	32D3X	unknown
QGLO01000004.1||0_partial_1__00031	188.3	S	Bacteria	1.40E-55	2ZB3U	Replication protein P
QGLO01000004.1||0_partial_1__00034	140.4	S	Bacteria	2.70E-41	32YYI	ninB family
QGLO01000004.1||0_partial_1__00035	144	S	Bacteria	1.50E-42	32TYS	unknown
QGLO01000004.1||0_partial_1__00036	84.8	L	Bacteria	8.50E-24	COG4570	"Endonuclease that resolves Holliday junction intermediates made during homologous genetic recombination and DNA repair. Exhibits sequence and structure-selective cleavage of four-way DNA junctions, where it introduces symmetrical nicks in two strands of the same polarity at the 5' side of dinucleotides. Corrects the defects in genetic recombination and DNA repair associated with inactivation of ruvAB or ruvC"
QGLO01000004.1||0_partial_1__00037	186	S	Bacteria	1.70E-55	33HDY	unknown
QGLO01000004.1||0_partial_1__00038	75.4	S	Bacteria	1.70E-21	33MR3	unknown
QGLO01000004.1||0_partial_1__00039	138.7	L	Bacteria	1.60E-40	COG2356	endonuclease I
QGLO01000004.1||0_partial_1__00041	98.7	S	Bacteria	2.90E-28	COG3772	lysozyme
QGLO01000004.1||0_partial_1__00042	29.9	S	Bacteria	2.90E-07	32TUN	unknown
QGLO01000004.1||0_partial_1__00043	57.2	S	Bacteria	1.10E-15	339VR	unknown
QGLO01000004.1||0_partial_1__00045	36.4	S	Bacteria	4.40E-09	31S85	unknown
QGLO01000004.1||0_partial_1__00046	182.5	S	Bacteria	1.20E-53	3307B	KilA-N
QGLO01000004.1||0_partial_1__00047	153.4	S	Virus	7.40E-45	4QB6U	Terminase small subunit
QGLO01000004.1||0_partial_1__00048	603.6	S	Virus	2.40E-181	4QF06	
QGLO01000004.1||0_partial_1__00049	635.3	S	Bacteria	5.10E-191	2ZAE8	Domain of unknown function (DUF4055)
QGLO01000004.1||0_partial_1__00050	84.7	S	Virus	9.50E-24	4QC5Z	Phage Mu protein F like protein
QGLO01000004.1||0_partial_1__00052	338.2	S	Bacteria	2.80E-101	2Z8UQ	unknown
QGLO01000004.1||0_partial_1__00053	336.4	S	Virus	1.50E-100	4QG3C	
QGLO01000004.1||0_partial_1__00054	182.9	S	Bacteria	2.40E-54	32TGJ	unknown
QGLO01000004.1||0_partial_1__00055	149.3	S	Bacteria	4.60E-44	30PBM	unknown
QGLO01000004.1||0_partial_1__00056	183.5	S	Bacteria	2.00E-54	2ZDW4	unknown
QGLO01000004.1||0_partial_1__00057	149.2	S	Bacteria	8.10E-44	32ZC4	Bacteriophage related domain of unknown function
QGLO01000004.1||0_partial_1__00058	173	S	Virus	6.90E-51	4QBX2	
QGLO01000004.1||0_partial_1__00059	122.1	S	Bacteria	9.10E-36	32I0F	Phage tail assembly chaperone
QGLO01000004.1||0_partial_1__00060	75.5	S	Bacteria	2.90E-21	33AE0	Phage related hypothetical protein (DUF1799)
QGLO01000004.1||0_partial_1__00061	200	S	Bacteria	6.10E-59	COG3950	"AAA domain, putative AbiEii toxin, Type IV TA system"
QGLO01000004.1||0_partial_1__00062	50.9	S	Bacteria	1.50E-13	345KP	unknown
QGLO01000004.1||0_partial_1__00064	28.5	S	Bacteria	9.90E-07	31K09	unknown
QGLO01000004.1||0_partial_1__00065	31.5	S	Bacteria	1.10E-07	31VT7	Arc-like DNA binding domain
QGLO01000004.1||0_partial_1__00066	24.6	S	Bacteria	1.50E-05	32F8V	Arc-like DNA binding domain
QGLO01000004.1||0_partial_1__00067	104.1	S	Bacteria	1.20E-29	COG3645	SOS response
QGLO01000004.1||0_partial_1__00069	32	S	Bacteria	7.50E-08	2ZCEM	"Type VI secretion system VasI, EvfG, VC_A0118"
QGLO01000004.1||0_partial_1__00070	126.7	S	Virus	1.20E-36	4QGS2	P22_AR N-terminal domain
QGLO01000004.1||0_partial_1__00071	26.7	S	Bacteria	3.40E-06	31K09	unknown
QGLO01000004.1||0_partial_1__00072	37.2	D	Bacteria	2.60E-10	COG3096	"Plays a central role in chromosome condensation, segregation and cell cycle progression. Functions as a homodimer, which is essential for chromosome partition. Involved in negative DNA supercoiling in vivo, and by this means organize and compact chromosomes. May achieve or facilitate chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division"
QGLO01000004.1||0_partial_1__00073	101.9	S	Virus	2.20E-29	4QCRY	Phage minor tail protein
QGLO01000004.1||0_partial_1__00074	306.8	S	Bacteria	7.30E-92	COG4672	phage minor tail protein L
QGLO01000004.1||0_partial_1__00075	76.9	S	Bacteria	1.20E-21	COG1310	metal-dependent protease of the Pad1 Jab1 superfamily
QGLO01000004.1||0_partial_1__00076	243.4	S	Virus	1.30E-72	4QCSK	virus tail assembly
QGLO01000004.1||0_partial_1__00077	1322	S	Bacteria	0	COG4733	cellulase activity
QGLO01000004.1||0_partial_1__00078	83.6	S	Virus	1.40E-23	4QDHG	
QGLO01000004.1||0_partial_1__00079	116.9	S	Virus	1.10E-33	4QAIQ	Caudovirales tail fibre assembly protein
QGLO01000004.1||1_partial_1__00001	236.1	S	Eukarya	6.10E-70	2T2T1	unknown
QGLO01000004.1||1_partial_1__00002	112.6	S	Virus	2.40E-32	4QAIQ	Caudovirales tail fibre assembly protein
QGLO01000004.1||1_partial_1__00003	74.7	S	Bacteria	1.30E-20	31VBA	unknown
QGLO01000004.1||1_partial_1__00004	1348.2	S	Bacteria	0	COG4733	cellulase activity
QGLO01000004.1||1_partial_1__00005	236	S	Virus	2.40E-70	4QCSK	virus tail assembly
QGLO01000004.1||1_partial_1__00006	84.1	S	Bacteria	8.40E-24	2ZDA2	unknown
QGLO01000004.1||1_partial_1__00007	303.1	S	Bacteria	9.80E-91	COG4672	phage minor tail protein L
QGLO01000004.1||1_partial_1__00008	103.3	S	Virus	7.90E-30	4QCRY	Phage minor tail protein
QGLO01000004.1||1_partial_1__00009	48.1	D	Bacteria	1.40E-13	COG3096	"Plays a central role in chromosome condensation, segregation and cell cycle progression. Functions as a homodimer, which is essential for chromosome partition. Involved in negative DNA supercoiling in vivo, and by this means organize and compact chromosomes. May achieve or facilitate chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division"
QGLO01000004.1||1_partial_1__00011	117.8	S	Bacteria	1.90E-34	33AE0	Phage related hypothetical protein (DUF1799)
QGLO01000004.1||1_partial_1__00012	123.9	S	Bacteria	2.40E-36	32I0F	Phage tail assembly chaperone
QGLO01000004.1||1_partial_1__00013	164	S	Virus	4.00E-48	4QBX2	
QGLO01000004.1||1_partial_1__00014	143.2	S	Bacteria	6.00E-42	32ZC4	Bacteriophage related domain of unknown function
QGLO01000004.1||1_partial_1__00015	42.3	S	Bacteria	7.40E-11	32T06	unknown
QGLO01000004.1||1_partial_1__00016	112	S	Virus	2.70E-32	4QB6G	Peptidase M15
QGLO01000004.1||1_partial_1__00017	74.8	S	Bacteria	5.30E-21	316AH	"LydA holin phage, holin superfamily III"
QGLO01000004.1||1_partial_1__00018	140.6	S	Bacteria	2.20E-41	33HDY	unknown
QGLO01000004.1||1_partial_1__00023	205	S	Bacteria	1.50E-60	32STJ	unknown
QGLO01000004.1||1_partial_1__00024	150	S	Virus	1.00E-43	4QFAM	
QGLO01000004.1||1_partial_1__00025	88.3	S	Bacteria	2.00E-25	33DHF	Helix-turn-helix domain
QGLO01000004.1||1_partial_1__00026	46.5	K	Bacteria	3.40E-12	COG1476	TRANSCRIPTIONal
QGLO01000004.1||1_partial_1__00027	88.2	K	Bacteria	8.00E-25	COG2932	Transcriptional regulator
QGLO01000004.1||1_partial_1__00031	32.5	S	Bacteria	7.20E-08	33E4E	unknown
QGLO01000004.1||2_partial_1__00001	504.4	L	Eukarya	3.80E-151	KOG2108	ATP-dependent DNA helicase activity
QGLO01000004.1||2_partial_1__00003	26.3	L	Eukarya	2.50E-06	2S871	Arm DNA-binding domain
QGLO01000004.1||2_partial_1__00006	19.1	L	Archaea	0.00057	arCOG01304	Cleaves both 3' and 5' ssDNA extremities of branched DNA structures
QGLO01000004.1||2_partial_1__00007	23.6	S	Bacteria	3.10E-05	31K09	unknown
QGLO01000004.1||2_partial_1__00008	122.9	S	Bacteria	7.10E-36	33IIT	unknown
QGLO01000004.1||2_partial_1__00009	19	S	Eukarya	0.00056	2S9Q7	unknown
QGLO01000004.1||2_partial_1__00014	52.3	S	Bacteria	4.60E-14	COG4718	Minor tail
QGLO01000004.1||2_partial_1__00015	54.1	S	Bacteria	1.20E-14	COG4672	phage minor tail protein L
QGLO01000004.1||2_partial_1__00017	19	S	Bacteria	0.0009	33ER9	unknown
QGLO01000004.1||2_partial_1__00019	74.2	S	Virus	8.60E-21	4QB6G	Peptidase M15
QGLO01000004.1||2_partial_1__00020	25.8	S	Bacteria	7.10E-06	33C75	unknown
QGLO01000004.1||2_partial_1__00021	40.8	S	Bacteria	1.40E-10	339VR	unknown
QGLO01000004.1||2_partial_1__00022	84.9	G	Bacteria	5.60E-24	COG4632	Exopolysaccharide biosynthesis protein
QGLO01000004.1||2_partial_1__00023	47.1	S	Virus	6.10E-13	4QBYM	
QGLO01000004.1||2_partial_1__00024	41	S	Virus	1.80E-10	4QD73	ORF11CD3 domain
QGLO01000004.1||2_partial_1__00025	19.4	S	Bacteria	0.00045	32PZE	unknown
QGLO01000004.1||2_partial_1__00026	170.9	S	Eukarya	3.50E-50	2SXEN	unknown
QGLO01000004.1||2_partial_1__00028	44.6	S	Virus	6.00E-12	4QC8M	Protein of unknown function (DUF1073)
QGLP01000005.1||0_partial_1__00002	51.9	E	Archaea	7.30E-14	arCOG05121	lipolytic protein G-D-S-L family
QGLP01000005.1||0_partial_1__00007	73.5	S	Virus	1.30E-20	4QAQ9	
QGLP01000005.1||0_partial_1__00008	45.2	S	Bacteria	8.40E-12	30W7C	unknown
QGLP01000005.1||0_partial_1__00009	72.6	S	Bacteria	2.70E-20	2ZBUB	unknown
QGLP01000005.1||0_partial_1__00010	40	S	Bacteria	3.50E-10	311PE	unknown
QGLP01000005.1||0_partial_1__00011	97.5	K	Bacteria	9.60E-28	COG3636	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD
QGLP01000005.1||0_partial_1__00012	141.8	S	Bacteria	1.00E-41	COG3657	addiction module killer protein
QGLP01000005.1||0_partial_1__00014	161.4	S	Bacteria	2.60E-47	336HH	KilA-N domain
QGLP01000005.1||0_partial_1__00015	75.4	S	Bacteria	3.70E-21	33A1Y	HNH endonuclease
QGLP01000005.1||0_partial_1__00016	44.2	K	Bacteria	1.80E-11	COG1813	peptidyl-tyrosine sulfation
QGLP01000005.1||0_partial_1__00017	31.6	S	Bacteria	1.10E-07	31K09	unknown
QGLP01000005.1||0_partial_1__00018	119.7	K	Bacteria	7.70E-35	COG3617	"BRO family, N-terminal domain"
QGLP01000005.1||0_partial_1__00019	26.7	S	Bacteria	2.30E-06	2ZIZQ	unknown
QGLP01000005.1||0_partial_1__00020	186.7	S	Bacteria	3.40E-55	2ZCEM	"Type VI secretion system VasI, EvfG, VC_A0118"
QGLP01000005.1||0_partial_1__00021	163.1	S	Bacteria	4.60E-48	2ZWCD	unknown
QGLP01000005.1||0_partial_1__00022	109.5	S	Bacteria	2.00E-31	COG5281	sister chromatid segregation
QGLP01000005.1||0_partial_1__00023	48.3	S	Bacteria	1.10E-12	COG3646	Phage regulatory protein
QGLP01000005.1||0_partial_1__00024	167.7	S	Virus	2.30E-49	4QHFU	
QGLP01000005.1||0_partial_1__00025	82.8	S	Virus	2.00E-23	4QAVQ	Phage major tail protein 2
QGLP01000005.1||0_partial_1__00026	132	S	Virus	9.70E-39	4QF97	
QGLP01000005.1||0_partial_1__00027	166.4	S	Virus	3.20E-49	4QGMC	
QGLP01000005.1||0_partial_1__00028	151.6	S	Bacteria	7.30E-45	32NPC	unknown
QGLP01000005.1||0_partial_1__00029	152.2	S	Bacteria	8.60E-45	30H4S	unknown
QGLP01000005.1||0_partial_1__00030	55.3	S	Bacteria	6.00E-15	3463Y	unknown
QGLP01000005.1||0_partial_1__00031	422.2	S	Virus	1.40E-126	4QGIT	
QGLP01000005.1||0_partial_1__00032	138.8	S	Bacteria	1.60E-40	33I2R	unknown
QGLP01000005.1||0_partial_1__00033	189.4	S	Virus	9.80E-56	4QBXF	
QGLP01000005.1||0_partial_1__00035	75	S	Virus	8.20E-21	4QC5Z	Phage Mu protein F like protein
QGLP01000005.1||0_partial_1__00036	186.8	S	Virus	4.40E-55	4QC8M	Protein of unknown function (DUF1073)
QGLP01000005.1||0_partial_1__00037	596.3	S	Virus	3.90E-179	4QF06	
QGLP01000005.1||0_partial_1__00038	162.9	S	Virus	9.20E-48	4QB6U	Terminase small subunit
QGLP01000005.1||0_partial_1__00040	41.3	S	Bacteria	1.10E-10	33CQ0	unknown
QGLP01000005.1||0_partial_1__00041	52.4	S	Bacteria	4.70E-14	330HV	bacteriophage lysis protein
QGLP01000005.1||0_partial_1__00042	111.8	S	Virus	3.10E-32	4QB6G	Peptidase M15
QGLP01000005.1||0_partial_1__00043	125.3	S	Bacteria	1.00E-36	316AH	"LydA holin phage, holin superfamily III"
QGLP01000005.1||0_partial_1__00044	111.7	S	Bacteria	3.10E-32	33H88	unknown
QGLP01000005.1||0_partial_1__00045	275.7	S	Bacteria	5.30E-82	32XWX	unknown
QGLP01000005.1||0_partial_1__00046	139.1	L	Bacteria	1.20E-40	COG2356	endonuclease I
QGLP01000005.1||0_partial_1__00047	56.6	S	Bacteria	1.60E-15	31K2J	unknown
QGLP01000005.1||0_partial_1__00048	181.7	S	Bacteria	3.90E-54	33HDY	unknown
QGLP01000005.1||0_partial_1__00049	228	S	Virus	8.70E-68	4QEMB	Bacteriophage Lambda NinG protein
QGLP01000005.1||0_partial_1__00051	23.4	S	Bacteria	6.90E-05	30GRS	"Psort location Cytoplasmic, score 8.87"
QGLP01000005.1||0_partial_1__00053	176.9	S	Bacteria	2.20E-52	2ZWCQ	bubble DNA binding
QGLP01000005.1||0_partial_1__00054	59.7	S	Bacteria	2.10E-16	30I8Q	Protein of unknwon function (DUF3310)
QGLP01000005.1||0_partial_1__00056	193.2	S	Bacteria	4.20E-57	2ZB3U	Replication protein P
QGLP01000005.1||0_partial_1__00057	148.5	S	Bacteria	2.50E-43	32D3X	unknown
QGLP01000005.1||0_partial_1__00058	92.5	S	Bacteria	1.00E-26	33DHF	Helix-turn-helix domain
QGLP01000005.1||0_partial_1__00059	120	S	Bacteria	5.80E-35	32X14	unknown
QGLP01000005.1||0_partial_1__00060	94.7	S	Virus	2.30E-27	4QAWN	Pfam:YdaS_antitoxin
QGLP01000005.1||0_partial_1__00061	208.8	K	Eukarya	5.90E-62	2SRRP	Helix-turn-helix XRE-family like proteins
QGLP01000005.1||0_partial_1__00062	321.5	S	Bacteria	1.40E-95	2Z7VT	AIPR protein
QGLP01000005.1||0_partial_1__00064	24.6	S	Bacteria	1.50E-05	33HFF	unknown
QGLP01000005.1||0_partial_1__00065	163.8	S	Virus	3.80E-48	4QF1I	Pentapeptide repeats (8 copies)
QGLP01000005.1||0_partial_1__00068	132.1	S	Bacteria	2.30E-38	327XW	unknown
QGLP01000005.1||0_partial_1__00069	296.8	S	Bacteria	1.60E-88	2Z8PY	RecT family
